SubjID,Sess,Cond_code,Seq,FB,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,preacorr_adj,postbcorr_adj,prebcorr_adj,postacorr_adj,Zpreacorr_adj,Zpostbcorr_adj,Zprebcorr_adj,Zpostacorr_adj,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled,Flagged
S052,s01-17,1,2,2,1,2,6,18,NA,NA,6,18,1,8,12,6,17,NA,NA,-0.576801010374,1.990795991788,NA,NA,44,NA,44,NA,78,78,34,0
S053,s01-03,2,2,1,2,2,NA,NA,7,4,7,4,1,2,-3,NA,NA,6,4,NA,NA,-0.49229810933,-1.588389099892,NA,45,45,39,NA,39,-6,0
S054,s01-08,3,1,1,1,2,16,16,NA,NA,16,16,1,7,0,15,14,NA,NA,1.967574499204,1.245497994862,NA,NA,70,NA,70,NA,69,69,-1,0
S055,s01-01,1,2,2,2,2,NA,NA,7,9,7,9,2,7,2,NA,NA,7,9,NA,NA,-0.19216899882,-0.233873241702,NA,48,48,53,NA,53,5,0
S056,s01-12,2,2,1,1,2,5,9,NA,NA,5,9,2,8,4,5,8,NA,NA,-0.859509400327,-0.245097998989,NA,NA,41,NA,41,NA,51,51,10,0
S057,s01-09,3,1,1,2,2,NA,NA,7,15,7,15,2,7,8,NA,NA,7,14,NA,NA,-0.19216899882,1.120642616488,NA,48,48,67,NA,67,19,0
S058,s01-02,1,2,2,1,2,10,9,NA,NA,10,9,1,4,-1,10,9,NA,NA,0.554032549438,0.003334666653,NA,NA,56,NA,56,NA,54,54,-2,0
S059,s01-13,2,2,1,2,2,NA,NA,7,10,7,10,1,6,3,NA,NA,6,9,NA,NA,-0.49229810933,-0.233873241702,NA,45,45,53,NA,53,8,0
S060,s01-10,3,1,1,1,2,8,8,NA,NA,8,8,1,7,0,8,8,NA,NA,-0.011384230468,-0.245097998989,NA,NA,50,NA,50,NA,51,51,1,0
S061,s01-04,1,2,2,2,2,NA,NA,11,8,11,8,1,3,-3,NA,NA,11,8,NA,NA,1.00834744323,-0.504776413340,NA,60,60,50,NA,50,-10,0
S062,s01-07,2,2,1,1,2,8,10,NA,NA,8,10,2,3,2,7,9,NA,NA,-0.294092620421,0.003334666653,NA,NA,47,NA,47,NA,54,54,7,0
S063,s01-05,1,2,2,1,2,8,10,NA,NA,8,10,2,7,2,8,9,NA,NA,-0.011384230468,0.003334666653,NA,NA,50,NA,50,NA,54,54,4,0
S064,s01-14,2,2,1,2,2,NA,NA,14,16,14,16,1,3,2,NA,NA,14,16,NA,NA,1.90873477477,1.662448959764,NA,69,69,73,NA,73,4,0
S065,s01-15,3,1,1,1,2,7,13,NA,NA,7,13,1,2,6,7,13,NA,NA,-0.294092620421,0.997065329220,NA,NA,47,NA,47,NA,66,66,19,0
S066,s01-06,1,2,2,2,2,NA,NA,4,9,4,9,2,6,5,NA,NA,4,9,NA,NA,-1.09255633036,-0.233873241702,NA,39,39,53,NA,53,14,0
S067,s01-11,2,2,1,1,2,9,7,NA,NA,9,7,2,3,-2,8,7,NA,NA,-0.011384230468,-0.493530664631,NA,NA,50,NA,50,NA,48,48,-2,0
S068,s01-16,3,1,1,2,2,NA,NA,9,8,9,8,1,6,-1,NA,NA,9,8,NA,NA,0.40808922221,-0.504776413340,NA,54,54,50,NA,50,-4,0
S074,s02-03,1,2,2,1,2,12,12,NA,NA,12,12,2,6,0,12,11,NA,NA,1.119449329345,0.500199997937,NA,NA,61,NA,61,NA,60,60,-1,0
S075,s02-02,2,2,1,2,2,NA,NA,7,13,7,13,1,2,6,NA,NA,6,12,NA,NA,-0.49229810933,0.578836273212,NA,45,45,61,NA,61,16,0
S076,s02-14,3,1,1,1,2,9,8,NA,NA,9,8,1,7,-1,9,8,NA,NA,0.271324159485,-0.245097998989,NA,NA,53,NA,53,NA,51,51,-2,0
S077,s02-16,1,2,2,1,2,16,17,NA,NA,16,17,2,2,1,15,16,NA,NA,1.967574499204,1.742363326146,NA,NA,70,NA,70,NA,75,75,5,0
S078,s02-10,2,2,1,1,2,10,9,NA,NA,10,9,2,6,-1,9,9,NA,NA,0.271324159485,0.003334666653,NA,NA,53,NA,53,NA,54,54,1,0
S079,s02-19,3,1,1,2,2,NA,NA,15,11,15,11,2,7,-4,NA,NA,15,10,NA,NA,2.20886388529,0.037029929936,NA,72,72,56,NA,56,-16,0
S080,s02-09,1,2,2,2,2,NA,NA,6,7,6,7,2,7,1,NA,NA,6,7,NA,NA,-0.49229810933,-0.775679584978,NA,45,45,47,NA,47,2,0
S081,s02-15,2,2,1,1,2,12,10,NA,NA,12,10,1,7,-2,12,9,NA,NA,1.119449329345,0.003334666653,NA,NA,61,NA,61,NA,54,54,-7,0
S082,s02-05,3,1,1,2,2,NA,NA,10,4,10,4,2,7,-6,NA,NA,10,4,NA,NA,0.70821833272,-1.588389099892,NA,57,57,39,NA,39,-18,1
S083,s02-06,1,2,2,2,2,NA,NA,12,6,12,6,2,7,-6,NA,NA,12,5,NA,NA,1.30847655375,-1.317485928254,NA,63,63,41,NA,41,-22,1
S084,s02-13,2,2,1,1,2,11,7,NA,NA,11,7,2,7,-4,10,7,NA,NA,0.554032549438,-0.493530664631,NA,NA,56,NA,56,NA,48,48,-8,0
S085,s02-12,3,1,1,2,2,NA,NA,8,10,8,10,2,6,2,NA,NA,8,10,NA,NA,0.10796011170,0.037029929936,NA,51,51,56,NA,56,5,0
S086,s02-07,1,2,2,2,2,NA,NA,12,14,12,14,2,7,2,NA,NA,12,14,NA,NA,1.30847655375,1.120642616488,NA,63,63,67,NA,67,4,0
S087,s02-08,2,2,1,1,2,10,8,NA,NA,10,8,2,7,-2,9,8,NA,NA,0.271324159485,-0.245097998989,NA,NA,53,NA,53,NA,51,51,-2,0
S088,s02-04,3,1,1,2,2,NA,NA,8,11,8,11,2,7,3,NA,NA,7,11,NA,NA,-0.19216899882,0.307933101574,NA,48,48,58,NA,58,10,0
S089,s02-17,1,2,2,2,2,NA,NA,5,12,5,12,2,7,7,NA,NA,5,12,NA,NA,-0.79242721984,0.578836273212,NA,42,42,61,NA,61,19,0
S090,s02-18,2,2,1,1,2,10,9,NA,NA,10,9,2,7,-1,10,8,NA,NA,0.554032549438,-0.245097998989,NA,NA,56,NA,56,NA,51,51,-5,0
S091,s02-01,3,1,1,2,2,NA,NA,11,14,11,14,2,4,3,NA,NA,10,14,NA,NA,0.70821833272,1.120642616488,NA,57,57,67,NA,67,10,0
S097,s03-18,1,2,2,1,2,12,10,NA,NA,12,10,1,2,-2,12,10,NA,NA,1.119449329345,0.251767332295,NA,NA,61,NA,61,NA,57,57,-4,0
S098,s03-07,2,2,1,2,2,NA,NA,9,13,9,13,1,2,4,NA,NA,9,13,NA,NA,0.40808922221,0.849739444850,NA,54,54,64,NA,64,10,0
S099,s03-03,3,1,1,1,2,5,9,NA,NA,5,9,1,3,4,5,8,NA,NA,-0.859509400327,-0.245097998989,NA,NA,41,NA,41,NA,51,51,10,0
S100,s03-08,1,2,2,2,2,NA,NA,12,11,12,11,1,7,-1,NA,NA,12,11,NA,NA,1.30847655375,0.307933101574,NA,63,63,58,NA,58,-5,0
S101,s03-02,2,2,1,1,2,11,7,NA,NA,11,7,1,2,-4,10,7,NA,NA,0.554032549438,-0.493530664631,NA,NA,56,NA,56,NA,48,48,-8,0
S102,s03-06,3,1,1,2,2,NA,NA,12,15,12,15,1,7,3,NA,NA,12,14,NA,NA,1.30847655375,1.120642616488,NA,63,63,67,NA,67,4,0
S103,s03-10,1,2,2,1,2,13,18,NA,NA,13,18,1,6,5,12,17,NA,NA,1.119449329345,1.990795991788,NA,NA,61,NA,61,NA,78,78,17,0
S104,s03-16,2,2,1,2,2,NA,NA,5,9,5,9,1,7,4,NA,NA,5,9,NA,NA,-0.79242721984,-0.233873241702,NA,42,42,53,NA,53,11,0
S105,s03-15,3,1,1,1,2,8,10,NA,NA,8,10,1,7,2,8,9,NA,NA,-0.011384230468,0.003334666653,NA,NA,50,NA,50,NA,54,54,4,0
S106,s03-09,1,2,2,2,2,NA,NA,10,16,10,16,1,8,6,NA,NA,10,16,NA,NA,0.70821833272,1.662448959764,NA,57,57,73,NA,73,16,0
S107,s03-12,2,2,1,1,2,8,6,NA,NA,8,6,2,7,-2,7,6,NA,NA,-0.294092620421,-0.741963330273,NA,NA,47,NA,47,NA,45,45,-2,0
S108,s03-17,3,1,1,2,2,NA,NA,10,16,10,16,1,6,6,NA,NA,10,16,NA,NA,0.70821833272,1.662448959764,NA,57,57,73,NA,73,16,0
S109,s03-13,1,2,2,1,2,8,9,NA,NA,8,9,2,6,1,8,9,NA,NA,-0.011384230468,0.003334666653,NA,NA,50,NA,50,NA,54,54,4,0
S110,s03-11,2,2,1,2,2,NA,NA,12,17,12,17,2,6,5,NA,NA,12,17,NA,NA,1.30847655375,1.933352131402,NA,63,63,76,NA,76,13,0
S111,s03-04,3,1,1,1,2,10,9,NA,NA,10,9,2,5,-1,10,9,NA,NA,0.554032549438,0.003334666653,NA,NA,56,NA,56,NA,54,54,-2,0
S112,s03-14,1,2,2,2,2,NA,NA,9,13,9,13,2,3,4,NA,NA,9,12,NA,NA,0.40808922221,0.578836273212,NA,54,54,61,NA,61,7,0
S113,s03-01,2,2,1,1,2,6,13,NA,NA,6,13,1,6,7,6,12,NA,NA,-0.576801010374,0.748632663578,NA,NA,44,NA,44,NA,63,63,19,0
S114,s03-05,3,1,1,2,2,NA,NA,13,15,13,15,1,7,2,NA,NA,13,15,NA,NA,1.60860566426,1.391545788126,NA,66,66,70,NA,70,4,0
S119,s04-17,1,2,2,1,1,12,12,NA,NA,12,12,1,2,0,11,12,NA,NA,0.836740939391,0.748632663578,NA,NA,58,NA,58,NA,63,63,5,0
S120,s04-03,2,2,1,2,1,NA,NA,9,16,9,16,1,3,7,NA,NA,8,15,NA,NA,0.10796011170,1.391545788126,NA,51,51,70,NA,70,19,0
S121,s04-12,3,1,1,1,1,15,19,NA,NA,15,19,1,2,4,15,18,NA,NA,1.967574499204,2.239228657429,NA,NA,70,NA,70,NA,81,81,11,0
S122,s04-05,1,2,2,2,1,NA,NA,16,12,16,12,1,7,-4,NA,NA,16,11,NA,NA,2.50899299580,0.307933101574,NA,75,75,58,NA,58,-17,0
S123,s04-13,2,2,1,1,1,10,16,NA,NA,10,16,1,6,6,10,15,NA,NA,0.554032549438,1.493930660504,NA,NA,56,NA,56,NA,72,72,16,0
S124,s04-06,3,1,1,2,1,NA,NA,12,15,12,15,2,6,3,NA,NA,10,15,NA,NA,0.70821833272,1.391545788126,NA,57,57,70,NA,70,13,0
S125,s04-10,1,2,2,1,1,8,11,NA,NA,8,11,1,7,3,8,11,NA,NA,-0.011384230468,0.500199997937,NA,NA,50,NA,50,NA,60,60,10,0
S126,s04-08,2,2,1,2,1,NA,NA,7,7,7,7,1,7,0,NA,NA,6,7,NA,NA,-0.49229810933,-0.775679584978,NA,45,45,47,NA,47,2,0
S127,s04-07,3,1,1,1,1,13,11,NA,NA,13,11,1,7,-2,13,11,NA,NA,1.402157719298,0.500199997937,NA,NA,64,NA,64,NA,60,60,-4,0
S128,s04-02,1,2,2,2,1,NA,NA,10,14,10,14,2,2,4,NA,NA,9,14,NA,NA,0.40808922221,1.120642616488,NA,54,54,67,NA,67,13,0
S129,s04-01,2,2,1,1,1,19,20,NA,NA,19,20,2,2,1,18,19,NA,NA,2.815699669063,2.487661323071,NA,NA,78,NA,78,NA,84,84,6,0
S130,s04-14,3,1,1,2,1,NA,NA,6,14,6,14,2,6,8,NA,NA,6,14,NA,NA,-0.49229810933,1.120642616488,NA,45,45,67,NA,67,22,0
S131,s04-16,1,2,2,1,1,12,18,NA,NA,12,18,2,7,6,11,16,NA,NA,0.836740939391,1.742363326146,NA,NA,58,NA,58,NA,75,75,17,0
S132,s04-11,2,2,1,2,1,NA,NA,11,13,11,13,2,7,2,NA,NA,10,12,NA,NA,0.70821833272,0.578836273212,NA,57,57,61,NA,61,4,0
S133,s04-18,3,1,1,1,1,8,10,NA,NA,8,10,2,7,2,8,9,NA,NA,-0.011384230468,0.003334666653,NA,NA,50,NA,50,NA,54,54,4,0
S134,s04-09,1,2,2,2,1,NA,NA,12,15,12,15,2,6,3,NA,NA,11,14,NA,NA,1.00834744323,1.120642616488,NA,60,60,67,NA,67,7,0
S135,s04-15,2,2,1,1,1,10,11,NA,NA,10,11,1,3,1,10,11,NA,NA,0.554032549438,0.500199997937,NA,NA,56,NA,56,NA,60,60,4,0
S136,s04-04,3,1,1,2,1,NA,NA,11,13,11,13,1,7,2,NA,NA,11,13,NA,NA,1.00834744323,0.849739444850,NA,60,60,64,NA,64,4,0
S140,s05-11,1,2,2,1,1,4,8,NA,NA,4,8,1,6,4,4,7,NA,NA,-1.142217790280,-0.493530664631,NA,NA,39,NA,39,NA,48,48,9,0
S141,s05-07,2,2,1,2,1,NA,NA,10,9,10,9,1,3,-1,NA,NA,10,9,NA,NA,0.70821833272,-0.233873241702,NA,57,57,53,NA,53,-4,0
S142,s05-06,3,1,1,1,1,8,10,NA,NA,8,10,1,7,2,8,10,NA,NA,-0.011384230468,0.251767332295,NA,NA,50,NA,50,NA,57,57,7,0
S143,s05-03,1,2,2,2,1,NA,NA,12,15,12,15,1,7,3,NA,NA,12,14,NA,NA,1.30847655375,1.120642616488,NA,63,63,67,NA,67,4,0
S144,s05-10,2,2,1,1,1,14,16,NA,NA,14,16,1,7,2,13,14,NA,NA,1.402157719298,1.245497994862,NA,NA,64,NA,64,NA,69,69,5,0
S145,s05-08,3,1,1,2,1,NA,NA,6,7,6,7,1,7,1,NA,NA,6,7,NA,NA,-0.49229810933,-0.775679584978,NA,45,45,47,NA,47,2,0
S146,s05-05,1,2,2,1,1,10,11,NA,NA,10,11,1,7,1,10,10,NA,NA,0.554032549438,0.251767332295,NA,NA,56,NA,56,NA,57,57,1,0
S147,s05-13,2,2,1,2,1,NA,NA,13,13,13,13,2,7,0,NA,NA,13,13,NA,NA,1.60860566426,0.849739444850,NA,66,66,64,NA,64,-2,0
S148,s05-09,3,1,1,1,1,8,13,NA,NA,8,13,1,8,5,8,13,NA,NA,-0.011384230468,0.997065329220,NA,NA,50,NA,50,NA,66,66,16,0
S149,s05-14,1,2,2,2,1,NA,NA,12,16,12,16,1,7,4,NA,NA,11,15,NA,NA,1.00834744323,1.391545788126,NA,60,60,70,NA,70,10,0
S150,s05-16,2,2,1,1,1,9,16,NA,NA,9,16,2,7,7,9,15,NA,NA,0.271324159485,1.493930660504,NA,NA,53,NA,53,NA,72,72,19,0
S151,s05-12,3,1,1,2,1,NA,NA,10,15,10,15,1,2,5,NA,NA,10,15,NA,NA,0.70821833272,1.391545788126,NA,57,57,70,NA,70,13,0
S152,s05-04,1,2,2,1,1,17,11,NA,NA,17,11,1,3,-6,16,11,NA,NA,2.250282889157,0.500199997937,NA,NA,73,NA,73,NA,60,60,-13,0
S153,s05-17,2,2,1,2,1,NA,NA,7,16,7,16,2,7,9,NA,NA,7,15,NA,NA,-0.19216899882,1.391545788126,NA,48,48,70,NA,70,22,0
S154,s05-01,3,1,1,1,1,10,15,NA,NA,10,15,2,7,5,10,15,NA,NA,0.554032549438,1.493930660504,NA,NA,56,NA,56,NA,72,72,16,0
S155,s05-15,1,2,2,2,1,NA,NA,6,12,6,12,2,6,6,NA,NA,6,11,NA,NA,-0.49229810933,0.307933101574,NA,45,45,58,NA,58,13,0
S156,s05-02,2,2,1,1,1,14,16,NA,NA,14,16,2,7,2,14,15,NA,NA,1.684866109251,1.493930660504,NA,NA,67,NA,67,NA,72,72,5,0
S157,s06-07,1,2,2,1,2,7,11,NA,NA,7,11,1,8,4,7,9,NA,NA,-0.294092620421,0.003334666653,NA,NA,47,NA,47,NA,54,54,7,0
S158,s06-13,2,2,1,2,2,NA,NA,11,14,11,14,1,8,3,NA,NA,10,14,NA,NA,0.70821833272,1.120642616488,NA,57,57,67,NA,67,10,0
S159,s06-02,3,1,1,1,2,7,9,NA,NA,7,9,1,7,2,7,7,NA,NA,-0.294092620421,-0.493530664631,NA,NA,47,NA,47,NA,48,48,1,0
S160,s06-01,1,2,2,2,2,NA,NA,7,10,7,10,2,7,3,NA,NA,6,9,NA,NA,-0.49229810933,-0.233873241702,NA,45,45,53,NA,53,8,0
S161,s06-11,2,2,1,1,2,6,5,NA,NA,6,5,1,7,-1,6,5,NA,NA,-0.576801010374,-0.990395995914,NA,NA,44,NA,44,NA,42,42,-2,0
S162,s06-15,3,1,1,2,2,NA,NA,8,11,8,11,1,3,3,NA,NA,7,11,NA,NA,-0.19216899882,0.307933101574,NA,48,48,58,NA,58,10,0
S163,s06-08,1,2,2,1,2,8,13,NA,NA,8,13,2,7,5,6,13,NA,NA,-0.576801010374,0.997065329220,NA,NA,44,NA,44,NA,66,66,22,0
S164,s06-06,2,2,1,2,2,NA,NA,9,9,9,9,1,6,0,NA,NA,8,8,NA,NA,0.10796011170,-0.504776413340,NA,51,51,50,NA,50,-1,0
S165,s06-03,3,1,1,1,2,7,12,NA,NA,7,12,1,2,5,6,11,NA,NA,-0.576801010374,0.500199997937,NA,NA,44,NA,44,NA,60,60,16,0
S166,s06-04,1,2,2,2,2,NA,NA,5,11,5,11,1,5,6,NA,NA,3,11,NA,NA,-1.39268544087,0.307933101574,NA,36,36,58,NA,58,22,0
S167,s06-10,2,2,1,1,2,5,10,NA,NA,5,10,1,6,5,5,10,NA,NA,-0.859509400327,0.251767332295,NA,NA,41,NA,41,NA,57,57,16,0
S168,s06-12,3,1,1,2,2,NA,NA,4,8,4,8,1,7,4,NA,NA,2,8,NA,NA,-1.69281455138,-0.504776413340,NA,33,33,50,NA,50,17,0
S169,s06-05,1,2,2,2,2,NA,NA,3,8,3,8,1,2,5,NA,NA,3,7,NA,NA,-1.39268544087,-0.775679584978,NA,36,36,47,NA,47,11,0
S170,s06-09,2,2,1,2,2,NA,NA,8,9,8,9,2,2,1,NA,NA,8,9,NA,NA,0.10796011170,-0.233873241702,NA,51,51,53,NA,53,2,0
S171,s06-14,3,1,1,1,2,13,9,NA,NA,13,9,2,7,-4,12,9,NA,NA,1.119449329345,0.003334666653,NA,NA,61,NA,61,NA,54,54,-7,0
S177,s07-09,1,2,2,1,4,3,6,NA,NA,3,6,2,6,3,3,6,NA,NA,-1.424926180234,-0.741963330273,NA,NA,36,NA,36,NA,45,45,9,0
S178,s07-06,2,2,1,2,4,NA,NA,8,9,8,9,2,6,1,NA,NA,8,9,NA,NA,0.10796011170,-0.233873241702,NA,51,51,53,NA,53,2,0
S179,s07-01,3,1,1,1,4,6,6,NA,NA,6,6,2,4,0,6,6,NA,NA,-0.576801010374,-0.741963330273,NA,NA,44,NA,44,NA,45,45,1,0
S180,s07-11,1,2,2,2,4,NA,NA,7,8,7,8,2,3,1,NA,NA,7,8,NA,NA,-0.19216899882,-0.504776413340,NA,48,48,50,NA,50,2,0
S181,s07-08,2,2,1,1,4,10,7,NA,NA,10,7,2,7,-3,9,7,NA,NA,0.271324159485,-0.493530664631,NA,NA,53,NA,53,NA,48,48,-5,0
S182,s07-02,3,1,1,2,4,NA,NA,11,10,11,10,1,7,-1,NA,NA,9,10,NA,NA,0.40808922221,0.037029929936,NA,54,54,56,NA,56,2,0
S183,s07-03,1,2,2,1,4,7,11,NA,NA,7,11,1,7,4,7,11,NA,NA,-0.294092620421,0.500199997937,NA,NA,47,NA,47,NA,60,60,13,0
S184,s07-05,2,2,1,2,4,NA,NA,6,9,6,9,2,3,3,NA,NA,5,7,NA,NA,-0.79242721984,-0.775679584978,NA,42,42,47,NA,47,5,0
S186,s07-07,1,2,2,2,4,NA,NA,7,5,7,5,2,1,-2,NA,NA,7,5,NA,NA,-0.19216899882,-1.317485928254,NA,48,48,41,NA,41,-7,0
S187,s07-04,2,2,1,1,4,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
S188,s07-10,3,1,1,2,4,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
S189,s07-12,1,2,2,1,4,5,5,NA,NA,5,5,2,7,0,5,4,NA,NA,-0.859509400327,-1.238828661556,NA,NA,41,NA,41,NA,39,39,-2,0
S194,s08-04,1,2,2,1,4,5,8,NA,NA,5,8,1,3,3,5,8,NA,NA,-0.859509400327,-0.245097998989,NA,NA,41,NA,41,NA,51,51,10,0
S195,s08-05,2,2,1,2,4,NA,NA,8,6,8,6,1,3,-2,NA,NA,8,6,NA,NA,0.10796011170,-1.046582756616,NA,51,51,44,NA,44,-7,0
S196,s08-11,3,1,1,1,4,3,6,NA,NA,3,6,1,7,3,3,6,NA,NA,-1.424926180234,-0.741963330273,NA,NA,36,NA,36,NA,45,45,9,0
S197,s08-03,1,2,2,2,4,NA,NA,3,6,3,6,1,6,3,NA,NA,3,6,NA,NA,-1.39268544087,-1.046582756616,NA,36,36,44,NA,44,8,0
S198,s08-02,2,2,1,1,4,6,9,NA,NA,6,9,2,7,3,6,7,NA,NA,-0.576801010374,-0.493530664631,NA,NA,44,NA,44,NA,48,48,4,0
S199,s08-07,3,1,1,2,4,NA,NA,8,7,8,7,2,3,-1,NA,NA,7,7,NA,NA,-0.19216899882,-0.775679584978,NA,48,48,47,NA,47,-1,0
S200,s08-10,1,2,2,1,4,6,7,NA,NA,6,7,2,2,1,6,6,NA,NA,-0.576801010374,-0.741963330273,NA,NA,44,NA,44,NA,45,45,1,0
S201,s08-01,2,2,1,2,4,NA,NA,3,5,3,5,2,7,2,NA,NA,3,5,NA,NA,-1.39268544087,-1.317485928254,NA,36,36,41,NA,41,5,0
S202,s08-06,3,1,1,1,4,4,5,NA,NA,4,5,1,3,1,4,5,NA,NA,-1.142217790280,-0.990395995914,NA,NA,39,NA,39,NA,42,42,3,0
S203,s08-09,1,2,2,2,4,NA,NA,3,2,3,2,2,3,-1,NA,NA,2,1,NA,NA,-1.69281455138,-2.401098614806,NA,33,33,30,NA,30,-3,0
S204,s08-08,2,2,1,1,4,9,11,NA,NA,9,11,2,3,2,9,10,NA,NA,0.271324159485,0.251767332295,NA,NA,53,NA,53,NA,57,57,4,0
S208,s09-01,1,2,2,1,2,7,6,NA,NA,7,6,1,2,-1,7,6,NA,NA,-0.294092620421,-0.741963330273,NA,NA,47,NA,47,NA,45,45,-2,0
S209,s09-02,2,2,1,2,2,NA,NA,8,11,8,11,1,8,3,NA,NA,7,11,NA,NA,-0.19216899882,0.307933101574,NA,48,48,58,NA,58,10,0
S210,s09-09,3,1,1,1,2,8,10,NA,NA,8,10,1,7,2,8,10,NA,NA,-0.011384230468,0.251767332295,NA,NA,50,NA,50,NA,57,57,7,0
S211,s09-12,1,2,2,2,2,NA,NA,5,7,5,7,1,6,2,NA,NA,5,6,NA,NA,-0.79242721984,-1.046582756616,NA,42,42,44,NA,44,2,0
S212,s09-08,2,2,1,1,2,11,11,NA,NA,11,11,1,5,0,11,10,NA,NA,0.836740939391,0.251767332295,NA,NA,58,NA,58,NA,57,57,-1,0
S213,s09-16,3,1,1,2,2,NA,NA,6,10,6,10,1,6,4,NA,NA,6,9,NA,NA,-0.49229810933,-0.233873241702,NA,45,45,53,NA,53,8,0
S214,s09-04,1,2,2,1,2,8,11,NA,NA,8,11,2,5,3,8,10,NA,NA,-0.011384230468,0.251767332295,NA,NA,50,NA,50,NA,57,57,7,0
S215,s09-14,2,2,1,2,2,NA,NA,15,15,15,15,2,7,0,NA,NA,14,14,NA,NA,1.90873477477,1.120642616488,NA,69,69,67,NA,67,-2,0
S216,s09-03,3,1,1,1,2,13,17,NA,NA,13,17,2,7,4,13,17,NA,NA,1.402157719298,1.990795991788,NA,NA,64,NA,64,NA,78,78,14,0
S217,s09-06,1,2,2,2,2,NA,NA,9,11,9,11,1,6,2,NA,NA,8,10,NA,NA,0.10796011170,0.037029929936,NA,51,51,56,NA,56,5,0
S218,s09-05,2,2,1,1,2,12,15,NA,NA,12,15,2,7,3,12,14,NA,NA,1.119449329345,1.245497994862,NA,NA,61,NA,61,NA,69,69,8,0
S219,s09-15,3,1,1,2,2,NA,NA,14,16,14,16,2,7,2,NA,NA,13,16,NA,NA,1.60860566426,1.662448959764,NA,66,66,73,NA,73,7,0
S220,s09-10,1,2,2,1,2,14,14,NA,NA,14,14,2,7,0,13,14,NA,NA,1.402157719298,1.245497994862,NA,NA,64,NA,64,NA,69,69,5,0
S221,s09-13,2,2,1,2,2,NA,NA,11,14,11,14,2,5,3,NA,NA,11,14,NA,NA,1.00834744323,1.120642616488,NA,60,60,67,NA,67,7,0
S222,s09-11,3,1,1,1,2,5,4,NA,NA,5,4,2,6,-1,5,3,NA,NA,-0.859509400327,-1.487261327198,NA,NA,41,NA,41,NA,36,36,-5,0
S223,s09-07,1,2,2,2,2,NA,NA,10,12,10,12,1,7,2,NA,NA,9,12,NA,NA,0.40808922221,0.578836273212,NA,54,54,61,NA,61,7,0
S228,s10-12,1,2,2,1,2,7,8,NA,NA,7,8,2,7,1,7,8,NA,NA,-0.294092620421,-0.245097998989,NA,NA,47,NA,47,NA,51,51,4,0
S229,s10-14,2,2,1,2,2,NA,NA,9,12,9,12,1,8,3,NA,NA,9,12,NA,NA,0.40808922221,0.578836273212,NA,54,54,61,NA,61,7,0
S230,s10-02,3,1,1,1,2,6,14,NA,NA,6,14,1,7,8,6,12,NA,NA,-0.576801010374,0.748632663578,NA,NA,44,NA,44,NA,63,63,19,0
S231,s10-10,1,2,2,2,2,NA,NA,10,17,10,17,1,6,7,NA,NA,10,17,NA,NA,0.70821833272,1.933352131402,NA,57,57,76,NA,76,19,0
