SubjID,Sess,Cond_code,Seq,FB,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,preacorr_adj,postbcorr_adj,prebcorr_adj,postacorr_adj,Zpreacorr_adj,Zpostbcorr_adj,Zprebcorr_adj,Zpostacorr_adj,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled,Flagged
S276,s12-08,2,2,1,2,6,NA,NA,3,5,3,5,1,6,2,NA,NA,3,5,NA,NA,-1.39268544087,-1.317485928254,NA,36,36,41,NA,41,5,0
S277,s12-17,3,1,1,1,6,4,9,NA,NA,4,9,1,6,5,4,8,NA,NA,-1.142217790280,-0.245097998989,NA,NA,39,NA,39,NA,51,51,12,0
S278,s12-14,1,2,2,2,6,NA,NA,8,7,8,7,1,2,-1,NA,NA,7,6,NA,NA,-0.19216899882,-1.046582756616,NA,48,48,44,NA,44,-4,0
S279,s12-15,2,2,1,1,6,0,6,NA,NA,0,6,2,6,6,0,5,NA,NA,-2.273051350093,-0.990395995914,NA,NA,27,NA,27,NA,42,42,15,0
S280,s12-10,3,1,1,2,6,NA,NA,1,7,1,7,2,6,6,NA,NA,1,7,NA,NA,-1.99294366189,-0.775679584978,NA,30,30,47,NA,47,17,0
S281,s12-07,1,2,2,1,6,2,7,NA,NA,2,7,1,4,5,2,5,NA,NA,-1.707634570187,-0.990395995914,NA,NA,33,NA,33,NA,42,42,9,0
S282,s12-11,2,2,1,2,6,NA,NA,2,4,2,4,2,6,2,NA,NA,2,4,NA,NA,-1.69281455138,-1.588389099892,NA,33,33,39,NA,39,6,0
S283,s12-02,3,1,1,1,6,5,8,NA,NA,5,8,1,6,3,5,7,NA,NA,-0.859509400327,-0.493530664631,NA,NA,41,NA,41,NA,48,48,7,0
S284,s12-01,1,2,2,2,6,NA,NA,3,4,3,4,2,4,1,NA,NA,3,4,NA,NA,-1.39268544087,-1.588389099892,NA,36,36,39,NA,39,3,0
S285,s12-04,2,2,1,1,6,9,6,NA,NA,9,6,2,2,-3,8,6,NA,NA,-0.011384230468,-0.741963330273,NA,NA,50,NA,50,NA,45,45,-5,0
S291,s13-06,1,2,2,1,5,7,2,NA,NA,7,2,1,NA,-5,7,2,NA,NA,-0.294092620421,-1.735693992840,NA,NA,47,NA,47,NA,33,33,-14,0
S292,s13-09,2,2,1,2,5,NA,NA,4,8,4,8,2,6,4,NA,NA,4,7,NA,NA,-1.09255633036,-0.775679584978,NA,39,39,47,NA,47,8,0
S293,s13-18,3,1,1,1,3,6,4,NA,NA,6,4,2,6,-2,5,4,NA,NA,-0.859509400327,-1.238828661556,NA,NA,41,NA,41,NA,39,39,-2,0
S294,s13-13,1,2,2,2,3,NA,NA,10,9,10,9,2,6,-1,NA,NA,10,8,NA,NA,0.70821833272,-0.504776413340,NA,57,57,50,NA,50,-7,0
S295,s13-14,2,2,1,1,3,6,8,NA,NA,6,8,2,6,2,5,8,NA,NA,-0.859509400327,-0.245097998989,NA,NA,41,NA,41,NA,51,51,10,0
S296,s13-08,3,1,1,2,3,NA,NA,7,4,7,4,2,3,-3,NA,NA,7,4,NA,NA,-0.19216899882,-1.588389099892,NA,48,48,39,NA,39,-9,0
S297,s13-07,1,2,2,1,3,6,8,NA,NA,6,8,1,3,2,6,8,NA,NA,-0.576801010374,-0.245097998989,NA,NA,44,NA,44,NA,51,51,7,0
S298,s13-01,2,2,1,2,3,NA,NA,7,9,7,9,1,3,2,NA,NA,7,8,NA,NA,-0.19216899882,-0.504776413340,NA,48,48,50,NA,50,2,0
S299,s13-03,3,1,1,1,3,8,2,NA,NA,8,2,2,3,-6,7,2,NA,NA,-0.294092620421,-1.735693992840,NA,NA,47,NA,47,NA,33,33,-14,0
S300,s13-17,1,2,2,2,3,NA,NA,9,5,9,5,1,3,-4,NA,NA,9,5,NA,NA,0.40808922221,-1.317485928254,NA,54,54,41,NA,41,-13,0
S301,s13-11,2,2,1,1,3,9,7,NA,NA,9,7,2,3,-2,9,7,NA,NA,0.271324159485,-0.493530664631,NA,NA,53,NA,53,NA,48,48,-5,0
S302,s13-04,3,1,1,2,3,NA,NA,7,8,7,8,1,5,1,NA,NA,6,8,NA,NA,-0.49229810933,-0.504776413340,NA,45,45,50,NA,50,5,0
S303,s13-15,1,2,2,1,3,6,12,NA,NA,6,12,1,3,6,6,10,NA,NA,-0.576801010374,0.251767332295,NA,NA,44,NA,44,NA,57,57,13,0
S304,s13-10,2,2,1,2,3,NA,NA,4,11,4,11,2,3,7,NA,NA,4,11,NA,NA,-1.09255633036,0.307933101574,NA,39,39,58,NA,58,19,0
S305,s13-12,3,1,1,1,3,10,11,NA,NA,10,11,1,6,1,9,11,NA,NA,0.271324159485,0.500199997937,NA,NA,53,NA,53,NA,60,60,7,0
S306,s13-16,1,2,2,2,3,NA,NA,9,10,9,10,2,8,1,NA,NA,9,9,NA,NA,0.40808922221,-0.233873241702,NA,54,54,53,NA,53,-1,0
S307,s13-05,2,2,1,1,5,6,12,NA,NA,6,12,1,3,6,6,10,NA,NA,-0.576801010374,0.251767332295,NA,NA,44,NA,44,NA,57,57,13,0
S308,s13-02,3,1,1,2,5,NA,NA,6,5,6,5,2,6,-1,NA,NA,5,3,NA,NA,-0.79242721984,-1.859292271530,NA,42,42,36,NA,36,-6,0
S315,s14-06,1,2,2,1,5,10,4,NA,NA,10,4,1,7,-6,9,3,NA,NA,0.271324159485,-1.487261327198,NA,NA,53,NA,53,NA,36,36,-17,0
S316,s14-01,2,2,1,2,3,NA,NA,6,12,6,12,1,1,6,NA,NA,6,12,NA,NA,-0.49229810933,0.578836273212,NA,45,45,61,NA,61,16,0
S317,s14-03,3,1,1,1,3,7,11,NA,NA,7,11,1,7,4,7,11,NA,NA,-0.294092620421,0.500199997937,NA,NA,47,NA,47,NA,60,60,13,0
S318,s14-04,1,2,2,2,3,NA,NA,7,9,7,9,1,7,2,NA,NA,6,9,NA,NA,-0.49229810933,-0.233873241702,NA,45,45,53,NA,53,8,0
S319,s14-02,2,2,1,1,3,6,7,NA,NA,6,7,2,7,1,6,6,NA,NA,-0.576801010374,-0.741963330273,NA,NA,44,NA,44,NA,45,45,1,0
S320,s14-05,3,1,1,2,3,NA,NA,8,10,8,10,1,2,2,NA,NA,8,10,NA,NA,0.10796011170,0.037029929936,NA,51,51,56,NA,56,5,0
S323,s15-06,1,2,2,1,2,9,15,NA,NA,9,15,2,7,6,9,14,NA,NA,0.271324159485,1.245497994862,NA,NA,53,NA,53,NA,69,69,16,0
S324,s15-02,2,2,1,2,2,NA,NA,7,8,7,8,2,8,1,NA,NA,7,8,NA,NA,-0.19216899882,-0.504776413340,NA,48,48,50,NA,50,2,0
S325,s15-03,3,1,1,1,2,11,15,NA,NA,11,15,2,7,4,10,15,NA,NA,0.554032549438,1.493930660504,NA,NA,56,NA,56,NA,72,72,16,0
S326,s15-12,1,2,2,2,2,NA,NA,11,14,11,14,2,6,3,NA,NA,10,14,NA,NA,0.70821833272,1.120642616488,NA,57,57,67,NA,67,10,0
S327,s15-05,2,2,1,1,2,4,7,NA,NA,4,7,1,6,3,3,7,NA,NA,-1.424926180234,-0.493530664631,NA,NA,36,NA,36,NA,48,48,12,0
S328,s15-04,3,1,1,2,2,NA,NA,11,9,11,9,1,3,-2,NA,NA,11,8,NA,NA,1.00834744323,-0.504776413340,NA,60,60,50,NA,50,-10,0
S329,s15-11,1,2,2,1,2,7,2,NA,NA,7,2,2,7,-5,7,2,NA,NA,-0.294092620421,-1.735693992840,NA,NA,47,NA,47,NA,33,33,-14,0
S330,s15-16,2,2,1,2,2,NA,NA,10,12,10,12,2,6,2,NA,NA,9,12,NA,NA,0.40808922221,0.578836273212,NA,54,54,61,NA,61,7,0
S331,s15-10,3,1,1,1,2,9,6,NA,NA,9,6,2,6,-3,9,5,NA,NA,0.271324159485,-0.990395995914,NA,NA,53,NA,53,NA,42,42,-11,0
S332,s15-09,1,2,2,2,2,NA,NA,10,15,10,15,1,7,5,NA,NA,9,14,NA,NA,0.40808922221,1.120642616488,NA,54,54,67,NA,67,13,0
S333,s15-08,2,2,1,1,2,14,17,NA,NA,14,17,1,7,3,14,16,NA,NA,1.684866109251,1.742363326146,NA,NA,67,NA,67,NA,75,75,8,0
S334,s15-01,3,1,1,2,2,NA,NA,7,13,7,13,1,7,6,NA,NA,6,13,NA,NA,-0.49229810933,0.849739444850,NA,45,45,64,NA,64,19,0
S335,s15-14,1,2,2,1,2,12,13,NA,NA,12,13,2,2,1,12,13,NA,NA,1.119449329345,0.997065329220,NA,NA,61,NA,61,NA,66,66,5,0
S336,s15-07,2,2,1,2,5,NA,NA,5,7,5,7,2,2,2,NA,NA,4,7,NA,NA,-1.09255633036,-0.775679584978,NA,39,39,47,NA,47,8,0
S337,s15-15,3,1,1,1,5,6,8,NA,NA,6,8,2,6,2,6,8,NA,NA,-0.576801010374,-0.245097998989,NA,NA,44,NA,44,NA,51,51,7,0
S338,s15-13,1,2,2,2,2,NA,NA,8,11,8,11,1,6,3,NA,NA,8,11,NA,NA,0.10796011170,0.307933101574,NA,51,51,58,NA,58,7,0
