SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,MAPsgp,pargH,pargM,pargL,EAParg,MAParg,pcrH,pcrM,pcrL,EAPcr,MAPcr,pdtH,pdtM,pdtL,EAPdt,MAPdt,pexaH,pexaM,pexaL,EAPexa,MAPexa,pexpH,pexpM,pexpL,EAPexp,MAPexp,pextH,pextM,pextL,EAPext,MAPext,pindH,pindM,pindL,EAPind,MAPind,pmodH,pmodM,pmodL,EAPmod,MAPmod,precH,precM,precL,EAPrec,MAPrec,ptabH,ptabM,ptabL,EAPtab,MAPtab,pverH,pverM,pverL,EAPver,MAPver,ppicH,ppicM,ppicL,EAPpic,MAPpic
S183,1,2,2,63,20,43,0,0.01491898148,0.000,0.003,0.997,1.997,1,0.053,0.111,0.837,1.784,1,0.02,0.402,1,1.56,1,0.098,0.227,0.675,1.577,1,0.000,0.010,0.990,1.990,1,0.132,0.334,0.53,1.401,1,0.01,0.55,0,1.43,2,0.049,0.157,0.794,1.74,1,0.049,0.245,0.706,1.658,1,0.223,0.535,0.242,1.018,2,0.118,0.421,0.461,1.343,1,0.074,0.315,0.611,1.537,1,0.002,0.09,0.913,1.911,1
S184,2,2,1,63,10,53,0,0.01469907407,0.000,0.001,0.999,1.999,1,0.000,0.006,0.994,1.994,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.003,1.00,1.997,1,0.01,0.60,0,1.39,2,0.007,0.105,0.887,1.88,1,0.000,0.014,0.986,1.986,1,0.008,0.228,0.763,1.755,1,0.000,0.017,0.982,1.982,1,0.035,0.322,0.644,1.609,1,0.000,0.02,0.976,1.976,1
S186,1,2,2,63,18,45,0,0.02107638889,0.000,0.106,0.893,1.893,1,0.000,0.004,0.996,1.996,1,0.28,0.602,0,0.85,2,0.110,0.236,0.654,1.544,1,0.000,0.015,0.985,1.985,1,0.000,0.003,1.00,1.997,1,0.04,0.62,0,1.31,2,0.000,0.027,0.972,1.97,1,0.000,0.026,0.974,1.973,1,0.038,0.422,0.540,1.502,1,0.462,0.425,0.113,0.651,3,0.000,0.041,0.958,1.958,1,0.002,0.07,0.924,1.923,1
S187,2,2,1,63,13,50,0,0.01133101852,0.000,0.002,0.998,1.998,1,0.000,0.015,0.985,1.985,1,0.02,0.402,1,1.56,1,0.098,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.012,0.99,1.988,1,0.02,0.64,0,1.32,2,0.031,0.235,0.733,1.70,1,0.042,0.232,0.725,1.683,1,0.009,0.231,0.760,1.750,1,0.002,0.069,0.930,1.928,1,0.158,0.497,0.345,1.187,2,0.000,0.04,0.958,1.958,1
S188,3,1,1,63,11,52,0,0.02332175926,0.000,0.001,0.999,1.999,1,0.000,0.003,0.997,1.997,1,0.21,0.656,0,0.93,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.019,0.98,1.981,1,0.00,0.38,1,1.62,1,0.002,0.059,0.939,1.94,1,0.000,0.010,0.990,1.990,1,0.001,0.102,0.897,1.896,1,0.001,0.059,0.940,1.939,1,0.010,0.195,0.794,1.784,1,0.000,0.03,0.970,1.970,1
S189,1,2,2,63,14,47,0,0.01400462963,0.000,0.000,1.000,2.000,1,0.007,0.054,0.939,1.932,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.001,0.033,0.97,1.964,1,0.03,0.70,0,1.25,2,0.053,0.255,0.692,1.64,1,0.007,0.105,0.888,1.881,1,0.163,0.568,0.269,1.105,2,0.022,0.230,0.748,1.726,1,0.192,0.495,0.312,1.120,2,0.000,0.04,0.961,1.961,1
S194,1,2,2,63,4,59,0,0.03084490741,0.000,0.000,1.000,2.000,1,0.000,0.002,0.998,1.998,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.007,0.99,1.993,1,0.00,0.03,1,1.97,1,0.000,0.027,0.972,1.97,1,0.000,0.016,0.984,1.983,1,0.001,0.101,0.897,1.896,1,0.001,0.049,0.950,1.949,1,0.001,0.080,0.918,1.917,1,0.001,0.07,0.925,1.924,1
S195,2,2,1,63,10,53,0,0.01781250000,0.000,0.001,0.999,1.999,1,0.000,0.002,0.998,1.998,1,0.07,0.599,0,1.26,2,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.017,0.98,1.983,1,0.00,0.13,1,1.87,1,0.001,0.049,0.950,1.95,1,0.000,0.025,0.975,1.974,1,0.001,0.102,0.897,1.896,1,0.004,0.118,0.878,1.875,1,0.006,0.160,0.833,1.827,1,0.001,0.07,0.930,1.929,1
S196,3,1,1,63,23,40,0,0.03004629630,0.008,0.414,0.578,1.570,1,0.001,0.023,0.976,1.975,1,0.18,0.430,0,1.21,2,0.149,0.262,0.589,1.439,1,0.000,0.032,0.968,1.967,1,0.000,0.015,0.99,1.985,1,0.77,0.23,0,0.23,3,0.031,0.213,0.756,1.73,1,0.230,0.395,0.376,1.146,2,0.044,0.424,0.532,1.488,1,0.042,0.315,0.643,1.601,1,0.069,0.347,0.584,1.515,1,0.001,0.06,0.936,1.935,1
S197,1,2,2,63,11,52,0,0.02336805556,0.000,0.000,1.000,2.000,1,0.000,0.002,0.998,1.998,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.003,1.00,1.997,1,0.23,0.74,0,0.81,2,0.002,0.061,0.937,1.94,1,0.000,0.018,0.981,1.981,1,0.001,0.102,0.897,1.896,1,0.000,0.041,0.959,1.958,1,0.010,0.201,0.788,1.778,1,0.001,0.08,0.920,1.919,1
S198,2,2,1,63,12,51,0,0.02130787037,0.000,0.000,1.000,2.000,1,0.000,0.005,0.995,1.995,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.017,0.98,1.983,1,0.02,0.66,0,1.30,2,0.004,0.075,0.921,1.92,1,0.002,0.054,0.944,1.942,1,0.008,0.228,0.764,1.756,1,0.026,0.248,0.726,1.701,1,0.017,0.242,0.741,1.724,1,0.000,0.05,0.955,1.954,1
